Ganhou,TimePlayed,EyesCount,LaCount,Label
1,41.1,6,3,0
1,195.7,10,5,0
1,52.4,9,5,1
0,41.1,10,4,1
0,216.3,7,4,0
0,95.9,9,4,0
0,226.7,5,2,1
1,123.2,3,5,1
1,121.0,10,2,1
0,16.3,9,3,0
1,216.1,1,5,1
0,93.8,9,5,0
1,3.4,6,4,1
1,236.5,3,5,1
0,204.5,10,2,1
0,92.9,7,3,0
0,58.4,7,4,1
0,58.0,10,4,0
0,45.0,6,3,0
1,125.7,8,3,1
1,211.3,10,5,0
1,214.0,7,3,1
1,0.6,9,3,0
0,79.0,9,5,0
0,235.6,8,4,0
0,248.9,9,4,0
0,64.2,10,3,0
0,76.2,10,3,0
0,235.2,3,0,1
0,95.5,1,3,1
0,23.1,9,4,0
1,230.1,8,3,0
0,98.3,9,4,0
0,232.9,4,2,1
0,62.3,8,5,0
0,24.6,8,5,0
1,67.5,2,0,1
0,164.0,10,3,0
0,136.1,7,3,0
1,54.9,10,5,0
0,30.6,0,3,1
0,135.6,6,3,0
0,183.8,7,3,0
0,49.1,10,3,0
1,37.3,6,2,1
0,198.7,9,3,0
0,162.4,10,5,0
0,57.0,9,4,0
0,212.9,6,5,0
1,138.9,9,0,1
1,56.5,10,2,1
0,148.3,9,4,0
0,185.3,10,3,0
0,119.1,6,4,1
0,133.4,6,5,0
0,122.4,2,1,1
1,242.6,9,5,0
1,89.6,5,5,0
1,210.2,9,4,0
0,2.0,9,4,0
0,173.6,9,5,0
0,95.4,5,4,1
1,9.0,7,5,1
1,68.1,1,1,1
0,204.6,7,4,0
1,218.7,8,4,0
1,133.6,4,3,1
1,63.3,10,5,0
0,80.7,9,5,0
0,157.6,7,4,0
0,187.9,8,5,0
0,196.4,7,4,0
1,93.1,1,5,1
0,11.3,4,3,1
1,7.2,10,1,1
1,133.6,7,3,1
0,9.2,10,4,0
1,71.8,1,5,1
0,192.9,8,0,1
0,67.8,6,1,1
0,129.8,1,2,1
0,122.8,9,3,0
1,205.8,9,5,0
1,152.7,6,4,0
1,91.7,6,4,1
1,216.7,9,4,0
1,142.3,8,3,0
1,95.0,10,4,0
0,60.3,9,4,0
0,33.0,10,5,0
1,26.0,9,3,1
1,147.2,1,5,1
0,130.3,6,4,0
0,55.4,9,4,0
0,137.6,7,5,0
1,210.0,5,4,0
1,88.7,8,1,1
0,106.5,5,5,0
0,88.0,5,4,0
0,20.1,7,3,0
1,227.7,10,4,1
1,187.4,6,2,1
1,101.5,8,3,0
1,94.5,7,2,1
0,200.8,2,3,1
1,203.3,2,4,1
1,5.3,9,1,1
0,170.1,9,3,0
1,182.8,0,2,1
0,131.3,8,3,1
1,22.5,9,3,1
0,82.0,9,2,1
0,24.4,10,3,0
1,230.0,8,0,1
0,51.7,10,5,0
0,139.6,9,4,0
1,139.6,1,5,1
0,180.0,5,5,0
1,126.5,4,5,1
0,81.2,8,4,0
